Timestamp,Respondent_ID,Age Group,Gender,Region,Preferred Tool,Satisfaction (1-5),Feedback,Date,Feedback Length
2024-04-01 23:20:00.000000,R141,25-34,Female,Rural,Python,4,Very useful tool,2024-04-01,16
2024-04-01 23:30:00.000000,R142,18-24,Male,Urban,Python,4,Very useful tool,2024-04-01,16
2024-04-01 23:40:00.000000,R143,35-44,Female,Urban,Excel,3,Nothing special,2024-04-01,15
2024-04-01 23:50:00.000000,R144,18-24,Male,Urban,Python,5,Loved it,2024-04-01,8
2024-04-02 00:00:00.000000,R145,18-24,Female,Rural,Power Bi,2,Needs improvement,2024-04-02,17
2024-04-02 00:10:00.000000,R146,18-24,Male,Rural,Power Bi,2,Not user friendly,2024-04-02,17
2024-04-02 00:20:00.000000,R147,25-34,Male,Urban,Python,4,Great experience,2024-04-02,16
2024-04-02 00:30:00.000000,R148,18-24,Female,Rural,Python,4,Loved it,2024-04-02,8
2024-04-02 00:40:00.000000,R149,18-24,Male,Urban,Python,5,Great experience,2024-04-02,16
2024-04-02 00:50:00.000000,R150,25-34,Male,Urban,Python,4,Great experience,2024-04-02,16
2024-04-02 01:00:00.000000,R151,18-24,Male,Rural,Python,4,Loved it,2024-04-02,8
2024-04-02 01:10:00.000000,R152,18-24,Female,Urban,Python,4,Very useful tool,2024-04-02,16
2024-04-02 01:20:00.000000,R153,25-34,Male,Urban,Excel,3,Nothing special,2024-04-02,15
2024-04-02 01:30:00.000000,R154,25-34,Male,Rural,Python,5,Super helpful,2024-04-02,13
2024-04-02 01:40:00.000000,R155,18-24,Male,Urban,Python,5,Great experience,2024-04-02,16
2024-04-02 01:50:00.000000,R156,18-24,Female,Rural,Python,4,Great experience,2024-04-02,16
2024-04-02 02:00:00.000000,R157,25-34,Male,Rural,Python,5,Great experience,2024-04-02,16
2024-04-02 02:10:00.000000,R158,18-24,Male,Urban,Python,5,Great experience,2024-04-02,16
2024-04-02 02:20:00.000000,R159,25-34,Female,Rural,Excel,3,Average experience,2024-04-02,18
2024-04-02 02:30:00.000000,R160,25-34,Male,Rural,Python,4,Loved it,2024-04-02,8
2024-04-02 02:40:00.000000,R161,18-24,Female,Rural,Python,4,Super helpful,2024-04-02,13
2024-04-02 02:50:00.000000,R162,18-24,Female,Rural,Power Bi,3,Needs improvement,2024-04-02,17
2024-04-02 03:00:00.000000,R163,25-34,Male,Rural,Python,4,Loved it,2024-04-02,8
2024-04-02 03:10:00.000000,R164,25-34,Male,Rural,Excel,3,It was okay,2024-04-02,11
2024-04-02 03:20:00.000000,R165,18-24,Female,Urban,Python,5,Very useful tool,2024-04-02,16
2024-04-02 03:30:00.000000,R166,18-24,Male,Urban,Power Bi,3,Needs improvement,2024-04-02,17
2024-04-02 03:40:00.000000,R167,18-24,Female,Rural,Python,4,Great experience,2024-04-02,16
2024-04-02 03:50:00.000000,R168,18-24,Male,Urban,Python,4,Super helpful,2024-04-02,13
2024-04-02 04:00:00.000000,R169,18-24,Female,Rural,Python,5,Very useful tool,2024-04-02,16
2024-04-02 04:10:00.000000,R170,18-24,Female,Urban,Python,5,Very useful tool,2024-04-02,16
2024-04-02 04:20:00.000000,R171,35-44,Male,Rural,Excel,3,Nothing special,2024-04-02,15
2024-04-02 04:30:00.000000,R172,35-44,Male,Urban,Excel,3,Nothing special,2024-04-02,15
2024-04-02 04:40:00.000000,R173,25-34,Male,Rural,Python,4,Great experience,2024-04-02,16
2024-04-02 04:50:00.000000,R174,25-34,Female,Rural,Python,4,Super helpful,2024-04-02,13
2024-04-02 05:00:00.000000,R175,18-24,Female,Urban,Python,4,Great experience,2024-04-02,16
2024-04-02 05:10:00.000000,R176,25-34,Female,Urban,Python,4,Loved it,2024-04-02,8
2024-04-02 05:20:00.000000,R177,18-24,Female,Rural,Power Bi,2,Poor experience,2024-04-02,15
2024-04-02 05:30:00.000000,R178,18-24,Male,Urban,Python,5,Loved it,2024-04-02,8
2024-04-02 05:40:00.000000,R179,18-24,Male,Urban,Python,4,Super helpful,2024-04-02,13
2024-04-02 05:50:00.000000,R180,35-44,Female,Urban,R,2,Not user friendly,2024-04-02,17
2024-04-02 06:00:00.000000,R181,35-44,Female,Rural,Excel,3,Nothing special,2024-04-02,15
2024-04-02 06:10:00.000000,R182,25-34,Male,Urban,Excel,3,It was okay,2024-04-02,11
2024-04-02 06:20:00.000000,R183,18-24,Male,Urban,Python,4,Super helpful,2024-04-02,13
2024-04-02 06:30:00.000000,R184,25-34,Male,Rural,Excel,3,It was okay,2024-04-02,11
2024-04-02 06:40:00.000000,R185,18-24,Female,Rural,Power Bi,2,Needs improvement,2024-04-02,17
2024-04-02 06:50:00.000000,R186,18-24,Male,Urban,Python,5,Very useful tool,2024-04-02,16
2024-04-02 07:00:00.000000,R187,18-24,Female,Urban,Power Bi,2,Needs improvement,2024-04-02,17
2024-04-02 07:10:00.000000,R188,35-44,Female,Urban,Excel,3,It was okay,2024-04-02,11
2024-04-02 07:20:00.000000,R189,25-34,Male,Urban,Python,4,Very useful tool,2024-04-02,16
2024-04-02 07:30:00.000000,R190,25-34,Female,Urban,Excel,4,Average experience,2024-04-02,18
2024-04-02 07:40:00.000000,R191,18-24,Male,Urban,Python,4,Super helpful,2024-04-02,13
2024-04-02 07:50:00.000000,R192,18-24,Male,Rural,Python,5,Great experience,2024-04-02,16
2024-04-02 08:00:00.000000,R193,18-24,Female,Urban,Power Bi,2,Poor experience,2024-04-02,15
2024-04-02 08:10:00.000000,R194,18-24,Male,Urban,Python,5,Loved it,2024-04-02,8
2024-04-02 08:20:00.000000,R195,18-24,Male,Urban,Power Bi,3,Needs improvement,2024-04-02,17
2024-04-02 08:30:00.000000,R196,25-34,Male,Rural,Excel,3,Average experience,2024-04-02,18
2024-04-02 08:40:00.000000,R197,18-24,Female,Urban,Power Bi,3,Not user friendly,2024-04-02,17
2024-04-02 08:50:00.000000,R198,18-24,Male,Rural,Power Bi,2,Not user friendly,2024-04-02,17
2024-04-02 09:00:00.000000,R199,25-34,Female,Urban,Excel,3,Average experience,2024-04-02,18
2024-04-02 09:10:00.000000,R200,35-44,Female,Urban,Excel,4,Nothing special,2024-04-02,15
2026-04-18 23:25:12.887205,NEW_201,18-24,Unknown,Urban,Power Bi,1,easy to use and un derstand ,2026-04-18,28
2026-04-18 23:49:02.034438,NEW_202,25-34,Unknown,Urban,Python,2,easy to understand and apply,2026-04-18,28
